Word,uniqueID,arousing_mean,arousing_SD,N_ratings,work_time_mean,work_time_SD
aardvark,aardvark,4.847826087,1.5771618859999998,46,7732.5869569999995,16952.933680000002
abacus,abacus,4.081632653,1.777600615,49,7840.265306,9699.602365
accordion,accordion,4.423076923,1.63714426,52,4826.442308,3988.7655590000004
acorn,acorn,3.857142857,1.369306394,49,5820.285714,8337.41957
air conditioner,air_conditioner,4.47826087,1.362010449,46,4494.195652,2793.370689
air mattress,air_mattress,4.163265306,1.863542089,49,7615.102040999999,14717.100219999998
air pump,air_pump,4.347826087,1.5234083319999998,46,7159.782609000001,9967.508114
airbag,airbag,4.625,1.4821634559999999,48,5461.895833,5867.486784000001
airboat,airboat,4.152173913,1.5771618859999998,46,7119.326087,8738.893179
aircraft carrier,aircraft_carrier,3.9148936169999997,1.791644705,47,6383.085106,6786.038438
airplane,airplane,5.090909091,1.5068553709999999,44,5832.6590909999995,8128.888618999999
album,album,3.645833333,1.95142701,48,5506.958333,4273.652367000001
alligator,alligator,4.87037037,1.913667784,54,4558.166667,2308.843595
almond,almond,3.295454545,1.772916995,44,5688.681818,6298.927021
aloe,aloe,4.295454545,1.636495766,44,16649.25,50793.13502
alpaca,alpaca,3.92,1.770967682,50,5869.46,8011.334881000001
altar,altar,3.644444444,1.8727174659999999,45,4462.044444,3215.911739
aluminum foil,aluminum_foil,3.6875,1.386197155,48,5700.5625,4892.066790999999
amber,amber,3.9038461539999996,1.7630145240000001,52,8147.865384999999,14835.8461
ambulance,ambulance,4.630434783,1.743033061,46,6136.891304,5823.823834000001
amplifier,amplifier,4.279069767,1.637733355,43,5644.651163,8170.221367
anchor,anchor,4.577777778,1.469212666,45,5285.088889,4509.001607
ankle,ankle,3.723404255,1.409627266,47,6196.106382999999,6093.4975079999995
anklet,anklet,4.023809524,1.674603633,42,5971.761904999999,5542.5796
ant,ant,4.36,1.67527031,50,4666.64,3399.7971829999997
anteater,anteater,4.796296296,1.509462351,54,7911.962963,12315.19318
antelope,antelope,4.06122449,1.6508604230000001,49,6806.857143000001,6410.158705
antenna,antenna,4.46,1.580622456,50,5734.72,4614.758755
anvil,anvil,4.479166667,1.557269615,48,6674.229167,6614.717016
appetizer,appetizer,3.87755102,1.7634324140000002,49,6667.8163270000005,14268.5576
apple,apple,3.387755102,1.6685363659999999,49,7017.142856999999,9428.842059999999
apple tree,apple_tree,4.068181818,1.6051911030000001,44,4998.9545450000005,2857.836
applesauce,applesauce,3.979166667,1.731922844,48,13402.47917,53221.89442
apron,apron,3.977777778,1.339757252,45,3989.288889,2904.914508
aquarium,aquarium,4.133333333,1.455397478,45,5378.622222,6572.805328
arch,arch,3.921568627,1.521093518,51,7914.764706,28133.325630000003
arm,arm,3.765957447,1.477553294,47,5175.340426,3311.442778
armor,armor,4.825,1.1742428,40,13830.2,50910.00832
arrow,arrow,5.0,1.551825784,50,5605.44,5728.285825
