Word,uniqueID,arousing_freq_1,arousing_freq_2,arousing_freq_3,arousing_freq_4,arousing_freq_5,arousing_freq_6,arousing_freq_7
aardvark,aardvark,1,0,5,23,5,3,1
abacus,abacus,0,5,5,25,2,2,0
accordion,accordion,1,6,5,12,8,4,0
acorn,acorn,1,4,7,22,0,1,0
air conditioner,air_conditioner,6,15,6,8,1,0,2
air mattress,air_mattress,4,6,7,14,4,1,0
air pump,air_pump,0,2,2,27,5,2,0
airbag,airbag,1,2,3,16,3,5,7
airboat,airboat,1,5,4,17,4,5,1
aircraft carrier,aircraft_carrier,1,1,2,19,6,6,1
airplane,airplane,1,2,4,15,8,7,1
album,album,8,14,5,6,2,2,1
alligator,alligator,0,0,0,5,9,10,16
almond,almond,3,8,9,11,2,1,1
aloe,aloe,7,15,5,8,1,2,0
alpaca,alpaca,2,8,9,11,3,3,0
altar,altar,5,7,8,16,3,0,0
aluminum foil,aluminum_foil,0,1,1,33,2,0,0
amber,amber,6,8,7,11,1,2,1
ambulance,ambulance,0,2,0,10,7,10,7
amplifier,amplifier,2,0,2,18,7,2,5
anchor,anchor,1,2,2,29,1,2,0
ankle,ankle,1,3,0,28,4,1,0
anklet,anklet,1,5,7,20,1,0,2
ant,ant,0,2,2,14,11,3,4
anteater,anteater,1,2,4,22,4,4,0
antelope,antelope,1,5,7,18,5,0,0
antenna,antenna,0,2,1,29,4,2,0
anvil,anvil,1,0,2,22,5,6,0
appetizer,appetizer,6,8,4,9,4,4,2
apple,apple,1,4,10,21,0,2,0
apple tree,apple_tree,5,15,3,11,2,2,0
applesauce,applesauce,1,10,6,14,3,1,1
apron,apron,1,3,7,22,0,1,1
aquarium,aquarium,16,10,7,5,1,0,0
arch,arch,3,5,7,16,4,2,1
arm,arm,3,3,1,27,2,1,1
armor,armor,0,1,1,19,9,7,1
arrow,arrow,0,0,1,26,6,3,3
artichoke,artichoke,1,2,4,30,0,0,1
arugula,arugula,0,4,5,24,2,3,1
ashtray,ashtray,0,1,3,21,7,3,3
asparagus,asparagus,1,2,4,28,2,1,0
avocado,avocado,5,5,3,21,2,0,1
awning,awning,4,9,6,14,1,1,0
axe,axe,0,1,1,20,9,8,0
baby,baby,8,5,1,11,5,2,4
backdrop,backdrop,0,2,6,27,1,1,0
backgammon,backgammon,1,6,9,12,6,4,0
backpack,backpack,0,1,2,30,6,0,0
backscratcher,backscratcher,6,12,8,8,4,0,0
bacon,bacon,5,3,2,14,6,2,4
badge,badge,3,5,3,20,4,1,1
badger,badger,0,2,3,11,7,8,7
bag,bag,1,5,1,27,3,0,0
bagel,bagel,1,10,5,19,0,2,0
bagpipe,bagpipe,2,3,10,8,7,7,0
baklava,baklava,2,7,10,15,4,1,0
balance beam,balance_beam,0,3,4,20,9,2,1
ball,ball,0,1,6,20,6,4,1
balloon,balloon,4,4,7,11,6,3,1
ballot box,ballot_box,0,0,1,31,2,2,0
bamboo,bamboo,5,10,7,13,4,1,0
banana,banana,3,5,8,19,3,0,0
banana peel,banana_peel,0,3,1,30,5,1,0
banana split,banana_split,6,9,3,14,3,3,1
bandage,bandage,3,2,3,16,9,4,0
bandanna,bandanna,2,4,4,23,2,0,0
banjo,banjo,2,5,9,13,6,2,0
bank,bank,1,5,2,28,3,0,0
banner,banner,0,1,3,26,6,4,0
barbed wire,barbed_wire,0,1,2,12,6,11,4
barbell,barbell,1,2,2,24,3,3,1
barcode,barcode,1,5,3,24,6,0,0
bark,bark,2,8,3,26,0,0,0
barnacle,barnacle,1,1,4,22,5,2,1
barrel,barrel,0,2,4,28,3,0,0
barrette,barrette,1,5,7,17,4,2,0
baseball,baseball,2,2,3,27,2,2,0
baseball bat,baseball_bat,1,1,0,25,7,1,1
