Word,uniqueID,arousing_freq_1,arousing_freq_2,arousing_freq_3,arousing_freq_4,arousing_freq_5,arousing_freq_6,arousing_freq_7
aardvark,aardvark,0,6,4,7,8,16,5
abacus,abacus,2,8,13,6,7,7,6
accordion,accordion,2,7,5,12,8,15,3
acorn,acorn,4,4,8,17,11,5,0
air conditioner,air_conditioner,2,2,6,9,17,9,1
air mattress,air_mattress,4,7,8,9,6,9,6
air pump,air_pump,2,4,6,12,11,8,3
airbag,airbag,1,5,5,6,17,11,3
airboat,airboat,1,6,12,8,6,11,2
aircraft carrier,aircraft_carrier,4,9,7,8,9,6,4
airplane,airplane,1,3,3,5,9,18,5
album,album,11,6,4,6,12,7,2
alligator,alligator,3,6,6,3,12,10,14
almond,almond,9,8,9,4,7,7,0
aloe,aloe,1,7,8,6,8,12,2
alpaca,alpaca,6,4,13,6,11,6,4
altar,altar,6,11,5,5,10,5,3
aluminum foil,aluminum_foil,3,8,9,13,11,4,0
amber,amber,4,9,11,8,8,8,4
ambulance,ambulance,1,7,6,3,13,9,7
amplifier,amplifier,1,7,7,7,9,9,3
anchor,anchor,1,3,5,14,8,10,4
ankle,ankle,4,6,8,14,11,4,0
anklet,anklet,3,6,7,8,10,5,3
ant,ant,4,4,8,4,17,10,3
anteater,anteater,0,5,7,7,19,7,9
antelope,antelope,1,11,7,9,11,6,4
antenna,antenna,2,4,8,10,11,11,4
anvil,anvil,0,6,9,8,11,9,5
appetizer,appetizer,2,11,13,4,7,8,4
apple,apple,6,12,9,9,7,4,2
apple tree,apple_tree,2,7,8,7,11,7,2
applesauce,applesauce,2,11,9,5,8,11,2
apron,apron,0,7,12,8,11,7,0
aquarium,aquarium,2,3,11,10,11,6,2
arch,arch,2,8,11,12,9,7,2
arm,arm,5,4,9,13,12,3,1
armor,armor,0,0,7,9,9,14,1
arrow,arrow,1,3,7,5,7,22,5
artichoke,artichoke,3,10,7,8,12,5,3
arugula,arugula,1,14,11,7,3,6,0
ashtray,ashtray,3,4,4,6,11,8,9
asparagus,asparagus,4,7,5,8,11,6,2
avocado,avocado,3,8,7,8,9,7,4
awning,awning,1,6,12,9,10,4,1
axe,axe,1,4,5,9,10,11,4
baby,baby,10,9,5,4,3,4,2
backdrop,backdrop,2,2,9,15,15,4,2
backgammon,backgammon,4,4,7,10,15,5,2
backpack,backpack,7,10,5,10,9,4,1
backscratcher,backscratcher,4,8,16,5,8,10,0
bacon,bacon,0,4,5,5,16,10,8
badge,badge,2,4,11,9,11,6,1
badger,badger,0,3,9,10,12,13,8
bag,bag,3,7,6,12,9,6,3
bagel,bagel,3,9,6,8,11,9,3
bagpipe,bagpipe,1,3,12,8,7,7,4
baklava,baklava,1,8,16,5,12,7,5
balance beam,balance_beam,3,3,9,8,12,8,2
ball,ball,6,10,8,11,5,7,1
balloon,balloon,2,9,13,4,8,5,3
ballot box,ballot_box,0,6,13,9,11,3,0
bamboo,bamboo,3,14,7,8,7,5,1
banana,banana,7,10,7,5,8,1,6
banana peel,banana_peel,5,5,4,14,12,7,3
