Word,uniqueID,be.moved_freq_1,be.moved_freq_2,be.moved_freq_3,be.moved_freq_4,be.moved_freq_5,be.moved_freq_6,be.moved_freq_7
aardvark,aardvark,1,10,15,5,3,3,1
abacus,abacus,0,0,4,0,10,16,9
accordion,accordion,0,1,6,3,10,11,5
acorn,acorn,0,0,0,0,0,9,26
air conditioner,air_conditioner,7,11,13,1,6,0,0
air mattress,air_mattress,0,0,4,3,8,8,13
air pump,air_pump,0,0,0,0,8,14,16
airbag,airbag,4,7,9,6,5,3,3
airboat,airboat,2,2,6,1,11,11,4
aircraft carrier,aircraft_carrier,13,6,5,4,5,2,1
airplane,airplane,6,7,11,2,7,3,2
album,album,0,0,0,1,6,13,18
alligator,alligator,15,18,5,0,1,0,1
almond,almond,0,0,0,1,1,7,26
aloe,aloe,0,2,1,4,7,16,8
alpaca,alpaca,4,11,12,2,4,2,1
altar,altar,8,10,14,2,3,2,0
aluminum foil,aluminum_foil,0,0,0,1,1,12,23
amber,amber,1,1,2,8,7,10,7
ambulance,ambulance,2,2,5,2,6,7,12
amplifier,amplifier,0,2,10,5,10,7,2
anchor,anchor,15,14,4,3,0,0,1
ankle,ankle,0,1,0,4,3,14,15
anklet,anklet,0,1,1,0,2,8,24
ant,ant,1,1,1,2,9,7,15
anteater,anteater,3,9,13,3,7,2,0
antelope,antelope,11,6,11,4,2,2,0
antenna,antenna,2,10,11,1,12,1,1
anvil,anvil,15,14,5,0,2,0,0
appetizer,appetizer,0,0,0,0,0,11,26
apple,apple,0,0,0,0,0,7,31
apple tree,apple_tree,23,8,3,2,0,2,0
applesauce,applesauce,0,1,2,4,5,13,11
apron,apron,0,0,0,0,2,9,24
aquarium,aquarium,8,13,11,1,4,1,1
arch,arch,35,2,1,0,0,0,0
arm,arm,0,0,0,1,3,17,17
armor,armor,1,7,8,4,9,6,3
arrow,arrow,0,1,1,1,6,14,16
artichoke,artichoke,0,0,1,1,2,16,18
arugula,arugula,0,0,0,0,3,6,30
ashtray,ashtray,0,0,1,1,2,9,25
