Word,uniqueID,grasp_freq_1,grasp_freq_2,grasp_freq_3,grasp_freq_4,grasp_freq_5,grasp_freq_6,grasp_freq_7
aardvark,aardvark,1,13,13,2,8,1,0
abacus,abacus,0,0,2,4,11,16,6
accordion,accordion,1,1,4,5,14,6,5
acorn,acorn,0,0,0,0,2,11,22
air conditioner,air_conditioner,5,7,11,3,9,1,2
air mattress,air_mattress,0,2,6,2,16,7,3
air pump,air_pump,0,1,0,1,4,14,18
airbag,airbag,1,9,11,5,8,1,2
airboat,airboat,10,8,8,2,3,4,2
aircraft carrier,aircraft_carrier,21,5,2,5,1,1,1
airplane,airplane,23,5,5,3,1,1,0
album,album,0,0,0,2,5,16,15
alligator,alligator,18,12,5,2,2,0,1
almond,almond,0,0,0,1,5,11,18
aloe,aloe,0,2,4,3,8,15,6
alpaca,alpaca,2,14,8,3,5,4,0
altar,altar,2,9,3,4,7,8,6
aluminum foil,aluminum_foil,0,1,0,1,5,11,19
amber,amber,0,1,2,4,9,11,9
ambulance,ambulance,13,4,1,8,5,3,2
amplifier,amplifier,3,2,6,4,12,8,1
anchor,anchor,6,4,9,4,10,2,2
ankle,ankle,0,0,0,4,7,18,8
anklet,anklet,0,0,1,1,3,8,23
ant,ant,1,2,8,2,7,6,10
anteater,anteater,2,6,13,6,8,2,0
antelope,antelope,11,10,10,3,2,0,0
antenna,antenna,2,4,8,1,14,8,1
anvil,anvil,9,9,7,4,3,4,0
appetizer,appetizer,0,0,0,2,0,14,21
apple,apple,0,0,0,0,0,13,25
apple tree,apple_tree,5,4,3,3,9,11,3
applesauce,applesauce,0,5,8,2,8,7,6
apron,apron,0,1,0,0,5,8,21
aquarium,aquarium,6,7,9,2,6,6,3
arch,arch,17,11,3,1,2,2,2
arm,arm,0,0,0,2,7,20,9
armor,armor,0,5,5,3,16,2,7
arrow,arrow,0,0,2,0,6,11,20
artichoke,artichoke,0,0,2,2,4,19,11
arugula,arugula,0,0,0,1,1,8,29
ashtray,ashtray,1,1,1,2,3,15,15
asparagus,asparagus,0,0,2,2,6,17,11
avocado,avocado,0,1,0,1,3,14,18
awning,awning,6,3,2,5,13,5,1
axe,axe,0,2,2,1,8,16,10
baby,baby,0,0,2,1,8,12,13
backdrop,backdrop,0,1,5,0,15,10,6
backgammon,backgammon,1,1,2,2,10,11,11
backpack,backpack,0,0,1,2,10,13,13
backscratcher,backscratcher,0,1,0,0,3,6,28
bacon,bacon,0,0,0,0,0,14,22
badge,badge,0,0,0,0,2,8,27
badger,badger,8,11,6,2,8,1,2
bag,bag,0,0,0,0,3,10,24
bagel,bagel,0,0,0,0,2,8,27
bagpipe,bagpipe,0,0,5,3,12,12,5
baklava,baklava,0,0,0,0,9,14,16
balance beam,balance_beam,2,5,6,1,13,9,3
ball,ball,0,1,2,0,6,11,18
balloon,balloon,0,1,1,1,12,8,13
ballot box,ballot_box,1,1,2,6,12,8,6
bamboo,bamboo,0,1,0,4,9,13,13
banana,banana,0,0,1,0,0,6,31
banana peel,banana_peel,0,0,0,0,6,14,20
banana split,banana_split,1,1,5,2,8,12,10
bandage,bandage,0,0,0,0,5,10,22
bandanna,bandanna,0,0,0,1,2,6,26
banjo,banjo,0,1,4,1,4,15,12
bank,bank,1,1,1,6,6,17,7
banner,banner,0,1,4,2,16,11,6
barbed wire,barbed_wire,10,19,4,0,0,1,2
barbell,barbell,3,1,3,1,11,9,8
barcode,barcode,4,6,4,11,3,4,7
bark,bark,1,2,6,3,14,9,4
barnacle,barnacle,0,1,9,5,11,4,6
barrel,barrel,3,13,11,2,5,2,1
barrette,barrette,0,0,0,1,5,6,24
baseball,baseball,0,0,0,1,3,10,24
baseball bat,baseball_bat,0,1,2,2,2,13,16
baseball glove,baseball_glove,0,0,1,1,5,13,16
basil,basil,0,0,0,1,5,11,22
basket,basket,0,0,1,1,0,19,18
basketball,basketball,0,0,3,0,12,12,12
basketball hoop,basketball_hoop,0,1,12,5,6,9,4
bassinet,bassinet,0,2,6,1,11,13,4
bassoon,bassoon,0,0,5,1,13,13,6
bat,bat1,5,7,8,0,8,7,2
bat,bat2,1,0,0,0,4,8,24
bathmat,bathmat,0,0,0,1,8,12,18
bathrobe,bathrobe,0,0,0,1,5,12,18
bathtub,bathtub,4,6,2,4,12,4,3
baton,baton1,0,0,0,1,5,12,21
baton,baton2,0,1,0,1,4,12,19
baton,baton3,0,1,1,0,4,9,25
baton,baton4,0,0,0,1,3,12,21
batter,batter,4,15,8,1,6,2,1
battery,battery,0,0,1,0,4,10,24
bazooka,bazooka,0,8,9,2,14,2,3
beachball,beachball,0,2,5,1,6,14,11
bead,bead,0,0,0,1,1,10,26
beaker,beaker,0,0,0,1,3,12,23
bean,bean,0,0,0,1,3,14,22
beanbag,beanbag,0,2,4,6,15,7,4
beanie,beanie,0,0,0,2,2,6,27
bear,bear,27,6,2,1,1,0,1
beard,beard,1,2,2,2,10,11,9
beaver,beaver,4,11,11,4,4,4,0
bed,bed,7,3,9,5,9,1,1
bedpan,bedpan,0,0,2,3,9,10,12
bedpost,bedpost,1,1,3,1,7,17,9
bee,bee,6,10,11,4,1,4,1
beehive,beehive,12,8,5,3,5,2,0
beer,beer,2,3,2,5,8,8,8
beet,beet,0,0,1,2,4,11,20
beetle,beetle,0,2,4,4,5,14,10
bell,bell,0,1,1,7,13,11,4
bell pepper,bell_pepper,0,0,0,1,1,13,21
belt,belt,1,1,0,0,1,10,25
belt buckle,belt_buckle,0,0,0,1,5,8,23
bench,bench,2,4,6,3,13,5,3
berry,berry,0,0,0,0,3,7,26
bib,bib,0,0,1,0,2,9,24
bike,bike,0,0,3,4,10,13,8
bikini,bikini,0,0,0,1,1,11,23
bin,bin,1,0,3,4,14,10,4
binder,binder,0,0,0,1,7,13,15
binoculars,binoculars,0,1,0,1,4,14,17
bird,bird,4,9,9,2,7,3,1
birdbath,birdbath,1,7,7,7,9,5,0
birdcage,birdcage,0,1,4,3,13,8,11
birdhouse,birdhouse,1,1,3,3,12,11,8
birthday cake,birthday_cake,0,3,6,3,12,11,4
biscuit,biscuit,0,0,1,1,1,6,30
bison,bison,18,12,5,1,1,0,0
blackberry,blackberry,0,0,0,3,3,8,24
blanket,blanket,0,0,1,0,5,13,18
blazer,blazer,1,0,0,3,8,8,17
blender,blender,0,1,3,1,16,8,9
blimp,blimp,23,10,0,1,4,1,0
blind,blind,0,1,2,2,9,11,12
blinder,blinder,0,1,2,1,15,7,9
blindfold,blindfold,0,0,0,2,1,9,24
block,block,0,0,2,4,7,14,9
blouse,blouse,0,0,1,0,4,13,21
blower,blower,0,1,5,0,16,13,3
blowfish,blowfish,14,9,11,0,2,1,0
blowgun,blowgun,0,0,1,0,5,12,17
blowtorch,blowtorch,0,1,0,2,10,12,12
blueberry,blueberry,0,0,2,2,3,9,22
boa,boa,0,1,0,1,4,11,18
boar,boar,10,11,10,1,3,4,1
board,board,0,0,2,4,21,10,2
board game,board_game,0,0,0,1,6,17,13
boat,boat,9,6,5,1,9,5,1
bobsled,bobsled,3,6,7,3,14,3,3
bok choy,bok_choy,0,0,0,4,3,17,13
bolo tie,bolo_tie,0,0,2,1,1,6,27
bologna,bologna,0,0,1,1,6,19,11
bolt,bolt,0,0,1,0,5,18,14
bomb,bomb,20,7,6,2,4,0,0
bone,bone,0,1,1,3,9,10,11
bongo,bongo,0,0,6,1,9,19,4
bonnet,bonnet,0,0,0,0,7,11,20
