Word,uniqueID,heavy_freq_1,heavy_freq_2,heavy_freq_3,heavy_freq_4,heavy_freq_5,heavy_freq_6,heavy_freq_7
aardvark,aardvark,0,3,5,4,14,9,3
abacus,abacus,2,10,13,3,9,1,1
accordion,accordion,1,2,2,4,11,12,4
acorn,acorn,23,9,1,2,0,0,0
air conditioner,air_conditioner,0,0,1,1,3,18,15
air mattress,air_mattress,8,12,6,3,4,3,0
air pump,air_pump,9,9,9,5,5,1,0
airbag,airbag,12,5,6,7,6,1,0
airboat,airboat,0,0,0,0,0,7,30
aircraft carrier,aircraft_carrier,1,0,0,0,0,0,35
airplane,airplane,1,0,0,0,3,4,30
album,album,10,10,3,7,5,3,0
alligator,alligator,0,0,0,3,6,19,12
almond,almond,24,9,2,0,0,0,0
aloe,aloe,6,12,11,4,4,0,1
alpaca,alpaca,0,1,0,0,4,18,13
altar,altar,0,1,0,0,4,17,17
aluminum foil,aluminum_foil,22,11,2,1,1,0,0
amber,amber,7,8,4,8,8,1,0
ambulance,ambulance,0,0,0,0,0,3,33
amplifier,amplifier,0,1,2,2,11,11,9
anchor,anchor,0,0,0,0,2,4,31
ankle,ankle,5,7,10,10,4,1,0
anklet,anklet,24,11,1,0,0,0,0
ant,ant,33,3,0,0,0,0,0
anteater,anteater,0,1,2,2,13,15,4
antelope,antelope,0,0,1,1,7,15,12
antenna,antenna,2,0,2,4,15,10,5
anvil,anvil,0,0,0,0,0,4,32
appetizer,appetizer,22,13,1,1,0,0,0
apple,apple,18,16,4,0,0,0,0
apple tree,apple_tree,0,0,0,3,4,11,20
applesauce,applesauce,16,12,1,2,4,1,0
apron,apron,26,8,0,0,1,0,0
aquarium,aquarium,0,0,0,0,2,20,17
arch,arch,0,0,0,0,1,4,33
arm,arm,1,8,5,11,9,4,0
armor,armor,0,0,0,0,1,18,19
arrow,arrow,21,14,3,1,0,0,0
artichoke,artichoke,14,11,8,2,0,2,1
arugula,arugula,31,6,0,0,2,0,0
ashtray,ashtray,13,13,5,3,4,0,0
asparagus,asparagus,11,16,4,3,2,2,0
avocado,avocado,16,13,4,1,3,0,0
awning,awning,3,2,5,2,10,11,2
axe,axe,0,2,4,1,9,17,6
baby,baby,6,7,9,4,10,0,0
backdrop,backdrop,4,2,5,2,16,4,4
backgammon,backgammon,16,11,7,0,4,0,0
backpack,backpack,2,3,9,4,10,7,4
backscratcher,backscratcher,30,7,1,0,0,0,0
bacon,bacon,27,5,1,1,2,0,0
badge,badge,17,5,6,4,5,0,0
badger,badger,2,3,7,8,11,5,2
bag,bag,16,10,5,6,0,0,0
bagel,bagel,24,11,1,1,0,0,0
bagpipe,bagpipe,2,6,14,2,6,7,0
baklava,baklava,19,8,6,3,2,1,0
balance beam,balance_beam,0,2,1,0,3,13,20
ball,ball,19,14,1,3,1,0,0
balloon,balloon,30,6,0,0,0,0,0
ballot box,ballot_box,5,9,8,3,6,5,0
bamboo,bamboo,5,5,7,4,10,4,5
banana,banana,26,11,1,0,0,0,0
banana peel,banana_peel,31,6,3,0,0,0,0
banana split,banana_split,15,10,5,2,5,2,0
bandage,bandage,31,5,0,0,0,0,1
bandanna,bandanna,32,3,0,0,0,0,0
banjo,banjo,6,11,11,4,5,0,0
bank,bank,5,5,6,9,11,1,2
banner,banner,4,4,12,6,14,0,0
barbed wire,barbed_wire,5,9,6,3,9,4,0
barbell,barbell,0,0,0,0,4,14,18
barcode,barcode,31,5,2,1,0,0,0
bark,bark,4,9,6,6,9,4,1
barnacle,barnacle,14,9,4,6,2,1,0
barrel,barrel,0,0,1,0,7,13,16
barrette,barrette,20,11,4,1,0,0,0
baseball,baseball,21,8,4,1,3,1,0
baseball bat,baseball_bat,3,6,7,6,9,4,1
baseball glove,baseball_glove,10,14,1,5,4,1,1
basil,basil,23,14,1,0,0,0,1
basket,basket,18,10,5,4,2,0,0
basketball,basketball,17,16,6,0,0,0,0
basketball hoop,basketball_hoop,8,4,7,2,5,7,4
bassinet,bassinet,1,6,5,1,18,6,0
bassoon,bassoon,1,6,6,6,14,5,0
bat,bat1,15,13,5,1,3,0,0
bat,bat2,3,12,8,3,9,2,0
bathmat,bathmat,18,14,2,3,1,0,1
bathrobe,bathrobe,13,14,3,1,5,0,0
bathtub,bathtub,0,0,0,0,1,12,22
baton,baton1,13,15,9,2,0,0,0
baton,baton2,2,15,5,1,9,4,1
baton,baton3,19,10,5,2,4,0,0
baton,baton4,9,16,3,3,4,1,1
batter,batter,10,10,9,2,5,1,0
battery,battery,18,4,5,5,4,1,2
bazooka,bazooka,0,0,0,4,7,20,7
beachball,beachball,32,6,1,0,0,0,0
bead,bead,28,9,0,1,0,0,0
beaker,beaker,13,14,6,4,2,0,0
bean,bean,28,10,1,0,0,1,0
beanbag,beanbag,9,8,7,2,8,4,0
beanie,beanie,32,3,2,0,0,0,0
bear,bear,0,0,0,0,1,6,31
beard,beard,17,6,6,3,3,1,1
beaver,beaver,0,3,7,8,16,4,0
bed,bed,0,0,0,0,4,20,11
bedpan,bedpan,14,12,5,5,0,0,0
bedpost,bedpost,0,3,4,4,17,5,6
bee,bee,26,10,0,0,1,0,0
beehive,beehive,1,3,3,9,11,7,1
beer,beer,13,10,4,5,4,0,0
beet,beet,18,10,6,1,1,2,0
beetle,beetle,28,8,1,1,0,0,1
bell,bell,1,3,5,10,11,4,3
bell pepper,bell_pepper,19,15,0,1,0,0,1
belt,belt,16,15,2,3,1,1,0
belt buckle,belt_buckle,8,12,5,3,8,1,0
bench,bench,0,0,0,0,7,21,8
berry,berry,28,6,0,1,1,0,0
bib,bib,27,8,1,0,0,0,0
bike,bike,1,2,7,5,16,7,0
bikini,bikini,28,5,2,1,0,0,0
bin,bin,2,10,5,9,9,1,0
