Word,uniqueID,hold_freq_1,hold_freq_2,hold_freq_3,hold_freq_4,hold_freq_5,hold_freq_6,hold_freq_7
aardvark,aardvark,5,7,13,4,7,2,0
abacus,abacus,0,0,4,3,9,18,5
accordion,accordion,0,2,3,5,16,6,4
acorn,acorn,0,0,0,0,0,9,26
air conditioner,air_conditioner,10,9,11,2,5,1,0
air mattress,air_mattress,1,3,8,0,14,7,3
air pump,air_pump,0,1,0,1,6,13,17
airbag,airbag,3,9,9,7,5,3,1
airboat,airboat,25,5,4,1,0,2,0
aircraft carrier,aircraft_carrier,31,4,0,1,0,0,0
airplane,airplane,32,4,0,0,2,0,0
album,album,0,0,0,0,6,12,20
alligator,alligator,24,13,3,0,0,0,0
almond,almond,0,0,0,0,2,10,23
aloe,aloe,1,1,1,4,7,18,6
alpaca,alpaca,12,10,7,1,5,1,0
altar,altar,9,15,1,5,3,4,2
aluminum foil,aluminum_foil,0,0,0,2,4,10,21
amber,amber,0,0,1,2,9,13,11
ambulance,ambulance,27,6,1,2,0,0,0
amplifier,amplifier,3,7,6,2,10,6,2
anchor,anchor,21,9,2,3,0,1,1
ankle,ankle,0,0,3,4,11,11,8
anklet,anklet,0,0,0,0,4,7,25
ant,ant,1,1,6,2,10,5,11
anteater,anteater,7,15,5,6,4,0,0
antelope,antelope,18,9,6,2,1,0,0
antenna,antenna,2,7,11,5,11,0,2
anvil,anvil,20,10,6,0,0,0,0
appetizer,appetizer,0,0,0,0,1,11,25
apple,apple,0,0,0,0,0,10,28
apple tree,apple_tree,16,10,1,2,3,5,1
applesauce,applesauce,0,2,8,1,10,9,6
apron,apron,0,0,0,1,0,11,23
aquarium,aquarium,8,13,9,2,5,1,1
arch,arch,29,6,1,0,0,1,1
arm,arm,0,0,0,1,11,17,9
armor,armor,1,6,10,3,11,4,3
arrow,arrow,0,1,0,0,5,10,23
artichoke,artichoke,0,0,0,1,2,18,17
arugula,arugula,0,0,0,0,3,8,28
ashtray,ashtray,1,0,0,0,5,15,17
asparagus,asparagus,0,0,1,1,3,20,13
avocado,avocado,0,0,0,0,2,12,23
awning,awning,6,10,7,2,7,2,1
axe,axe,0,2,2,2,9,20,4
baby,baby,0,0,3,2,3,13,15
backdrop,backdrop,2,2,11,1,12,5,4
backgammon,backgammon,1,1,2,1,5,16,12
backpack,backpack,0,0,1,1,6,17,14
backscratcher,backscratcher,0,0,0,0,2,8,28
bacon,bacon,0,0,0,1,1,12,22
badge,badge,0,0,0,0,2,6,29
badger,badger,11,9,8,4,2,3,1
bag,bag,0,0,0,0,3,9,25
bagel,bagel,0,0,0,0,1,8,28
bagpipe,bagpipe,0,0,2,3,14,11,7
baklava,baklava,0,0,0,0,8,11,20
balance beam,balance_beam,12,8,6,3,5,4,1
ball,ball,0,0,0,0,1,17,20
balloon,balloon,0,0,0,0,7,11,18
ballot box,ballot_box,0,0,2,7,9,12,6
bamboo,bamboo,0,1,1,2,10,14,12
banana,banana,0,0,0,0,0,7,31
