Word,uniqueID,lives_freq_1,lives_freq_2,lives_freq_3,lives_freq_4,lives_freq_5,lives_freq_6,lives_freq_7
aardvark,aardvark,0,0,0,1,0,3,34
abacus,abacus,31,5,0,1,0,0,2
accordion,accordion,29,3,1,0,2,1,0
acorn,acorn,0,4,2,5,9,9,6
air conditioner,air_conditioner,30,6,1,1,0,0,0
air mattress,air_mattress,33,2,0,1,0,0,0
air pump,air_pump,29,7,1,0,0,1,0
airbag,airbag,32,3,0,0,1,1,0
airboat,airboat,29,7,1,0,0,0,0
aircraft carrier,aircraft_carrier,28,7,0,1,0,0,0
airplane,airplane,34,2,1,0,0,1,0
album,album,28,3,2,1,3,0,1
alligator,alligator,0,0,0,0,0,0,40
almond,almond,5,1,4,5,5,10,5
aloe,aloe,0,0,0,0,8,10,20
alpaca,alpaca,0,0,0,0,0,5,31
altar,altar,33,5,0,0,1,0,0
aluminum foil,aluminum_foil,30,5,1,1,0,0,0
amber,amber,17,10,2,6,1,0,0
ambulance,ambulance,30,4,1,0,0,0,1
amplifier,amplifier,30,5,1,0,0,0,0
anchor,anchor,33,4,0,0,0,0,0
ankle,ankle,0,3,1,4,4,11,14
anklet,anklet,26,5,1,0,2,2,0
ant,ant,0,0,0,0,0,2,34
anteater,anteater,0,0,0,1,1,8,27
antelope,antelope,0,0,0,0,0,5,31
antenna,antenna,31,6,1,0,0,0,0
anvil,anvil,30,4,1,1,0,0,0
appetizer,appetizer,28,8,0,1,0,0,0
apple,apple,2,5,0,3,10,11,7
apple tree,apple_tree,1,0,0,0,1,7,29
applesauce,applesauce,16,15,2,2,1,0,0
apron,apron,30,4,1,0,0,0,0
aquarium,aquarium,19,2,6,2,7,0,3
arch,arch,30,6,1,1,0,0,0
arm,arm,0,0,0,0,4,11,23
armor,armor,28,9,1,0,0,0,0
arrow,arrow,35,3,0,0,1,0,0
artichoke,artichoke,5,4,0,1,6,10,12
arugula,arugula,2,1,0,1,4,10,21
ashtray,ashtray,31,5,0,1,1,0,0
asparagus,asparagus,2,3,3,3,10,11,6
avocado,avocado,4,1,1,2,9,10,10
awning,awning,28,3,0,2,1,1,0
axe,axe,32,4,0,1,0,1,1
baby,baby,0,0,0,1,0,3,32
backdrop,backdrop,32,4,1,0,0,0,0
