Word,uniqueID,manmade_freq_1,manmade_freq_2,manmade_freq_3,manmade_freq_4,manmade_freq_5,manmade_freq_6,manmade_freq_7
aardvark,aardvark,33,4,0,0,0,0,1
abacus,abacus,0,0,0,0,1,3,35
accordion,accordion,0,0,0,1,1,4,30
acorn,acorn,31,3,0,0,1,0,0
air conditioner,air_conditioner,0,1,0,0,0,2,35
air mattress,air_mattress,1,2,0,0,0,0,33
air pump,air_pump,2,1,0,0,0,6,29
airbag,airbag,0,0,0,0,0,5,32
airboat,airboat,2,0,0,0,2,6,27
aircraft carrier,aircraft_carrier,1,0,0,0,0,4,31
airplane,airplane,0,0,0,0,1,2,35
album,album,0,2,0,0,2,7,27
alligator,alligator,40,0,0,0,0,0,0
almond,almond,26,4,1,0,1,1,2
aloe,aloe,24,12,1,0,0,0,1
alpaca,alpaca,33,3,0,0,0,0,0
altar,altar,0,1,0,0,1,8,29
aluminum foil,aluminum_foil,0,0,1,2,0,6,28
amber,amber,26,8,1,0,0,1,0
ambulance,ambulance,0,1,1,1,0,3,30
amplifier,amplifier,0,0,0,0,0,2,34
anchor,anchor,0,0,0,0,2,3,32
ankle,ankle,25,5,2,3,1,1,0
anklet,anklet,0,0,0,0,3,6,27
ant,ant,34,2,0,0,0,0,0
anteater,anteater,27,7,0,1,2,0,0
antelope,antelope,34,2,0,0,0,0,0
antenna,antenna,1,0,0,0,0,4,33
anvil,anvil,0,0,0,0,2,6,28
appetizer,appetizer,1,0,0,2,1,7,26
apple,apple,31,4,0,1,1,0,1
apple tree,apple_tree,24,6,3,1,0,1,3
applesauce,applesauce,0,0,1,2,5,11,17
apron,apron,0,0,1,0,2,7,25
aquarium,aquarium,0,0,0,0,2,8,29
arch,arch,0,0,0,2,1,1,34
arm,arm,21,6,0,4,2,1,4
armor,armor,0,1,0,0,0,8,29
arrow,arrow,0,0,1,0,0,7,31
artichoke,artichoke,28,8,1,0,0,0,1
arugula,arugula,27,6,1,0,2,2,1
ashtray,ashtray,0,0,0,0,0,4,34
asparagus,asparagus,24,10,2,0,1,0,1
avocado,avocado,25,8,1,1,1,0,1
awning,awning,0,0,0,0,2,6,27
axe,axe,0,0,0,0,2,10,27
baby,baby,12,1,3,3,2,8,7
backdrop,backdrop,1,0,0,2,1,7,26
backgammon,backgammon,0,1,0,1,1,4,31
backpack,backpack,0,0,1,0,1,6,31
backscratcher,backscratcher,0,1,0,0,1,8,28
bacon,bacon,3,3,3,4,9,2,12
badge,badge,0,0,0,0,1,7,29
badger,badger,31,6,0,0,0,1,0
bag,bag,2,0,0,0,0,6,29
bagel,bagel,0,1,0,0,4,13,19
bagpipe,bagpipe,0,0,0,0,1,6,30
baklava,baklava,0,0,0,1,4,9,25
balance beam,balance_beam,0,0,1,0,1,9,28
ball,ball,1,0,0,0,0,5,32
balloon,balloon,1,0,0,0,0,6,29
ballot box,ballot_box,1,0,0,0,2,2,31
bamboo,bamboo,35,3,0,0,0,1,1
banana,banana,31,4,1,0,0,0,2
banana peel,banana_peel,31,4,3,2,0,0,0
banana split,banana_split,0,0,0,2,2,12,23
bandage,bandage,0,0,0,0,0,4,33
bandanna,bandanna,0,0,0,0,0,10,25
banjo,banjo,0,0,0,0,0,5,32
bank,bank,1,0,0,0,0,6,32
banner,banner,0,0,0,0,1,9,30
barbed wire,barbed_wire,0,0,0,0,0,5,31
barbell,barbell,0,0,0,0,0,6,30
barcode,barcode,2,0,0,1,3,2,31
bark,bark,34,3,0,0,0,2,0
barnacle,barnacle,31,2,0,0,0,2,1
barrel,barrel,1,0,0,0,3,9,24
barrette,barrette,0,0,1,0,0,9,26
baseball,baseball,0,0,0,0,1,7,30
baseball bat,baseball_bat,0,0,0,0,0,7,29
baseball glove,baseball_glove,1,0,0,0,1,8,26
basil,basil,30,7,1,0,0,0,1
basket,basket,0,0,0,0,2,10,27
basketball,basketball,0,0,0,0,1,7,31
basketball hoop,basketball_hoop,1,1,0,1,1,1,32
bassinet,bassinet,0,0,1,1,2,6,27
bassoon,bassoon,0,0,0,0,0,7,31
bat,bat1,34,2,0,0,0,1,0
bat,bat2,0,1,0,0,1,4,31
bathmat,bathmat,1,1,0,1,0,5,31
bathrobe,bathrobe,1,0,0,0,0,8,27
bathtub,bathtub,0,0,0,0,3,2,30
baton,baton1,0,1,0,1,2,3,32
baton,baton2,1,1,0,0,0,11,24
baton,baton3,0,0,0,2,1,7,30
baton,baton4,0,0,0,0,0,5,32
batter,batter,1,0,0,1,2,13,20
battery,battery,0,0,0,0,0,6,33
bazooka,bazooka,0,0,0,0,0,4,34
beachball,beachball,2,1,0,0,1,0,35
bead,bead,0,0,0,1,2,7,28
beaker,beaker,0,0,0,0,0,5,34
bean,bean,27,11,0,1,0,1,0
beanbag,beanbag,0,1,0,0,0,6,31
beanie,beanie,0,0,0,0,0,6,31
bear,bear,35,3,0,0,0,0,0
beard,beard,14,6,2,2,7,5,1
beaver,beaver,32,3,1,0,0,0,2
bed,bed,0,0,0,0,0,5,30
bedpan,bedpan,0,0,0,0,1,5,30
bedpost,bedpost,0,1,0,1,1,3,33
bee,bee,32,3,0,0,0,1,1
beehive,beehive,30,3,1,1,0,0,0
beer,beer,0,0,1,0,1,8,26
beet,beet,29,6,0,1,0,1,1
beetle,beetle,35,4,0,0,0,0,0
bell,bell,0,0,0,1,0,5,31
bell pepper,bell_pepper,21,10,1,2,1,0,1
belt,belt,0,0,0,0,0,10,28
belt buckle,belt_buckle,0,0,0,0,1,5,31
bench,bench,0,0,0,0,0,8,28
berry,berry,28,6,0,1,0,0,1
bib,bib,0,0,0,0,2,9,25
bike,bike,0,0,0,0,0,4,34
bikini,bikini,2,0,0,0,1,8,25
bin,bin,0,0,0,0,0,5,31
binder,binder,0,0,0,0,3,5,28
binoculars,binoculars,0,0,0,0,0,5,32
bird,bird,29,3,2,0,0,1,0
birdbath,birdbath,1,0,1,0,3,6,25
birdcage,birdcage,1,0,0,0,0,7,32
birdhouse,birdhouse,0,0,0,0,0,6,33
birthday cake,birthday_cake,1,0,0,0,1,6,31
biscuit,biscuit,1,0,0,0,0,8,30
bison,bison,30,5,0,1,0,0,1
blackberry,blackberry,31,5,0,0,1,1,0
blanket,blanket,0,0,0,1,0,9,27
blazer,blazer,0,0,1,0,1,6,29
blender,blender,1,0,0,0,0,4,33
blimp,blimp,1,0,0,0,2,6,30
blind,blind,1,0,0,0,0,4,32
blinder,blinder,0,0,1,0,1,5,28
blindfold,blindfold,1,0,0,0,0,14,21
block,block,0,0,1,0,6,11,18
blouse,blouse,0,0,0,0,1,6,32
blower,blower,2,1,1,0,1,5,28
blowfish,blowfish,30,5,0,0,1,0,1
blowgun,blowgun,0,0,1,0,0,9,25
blowtorch,blowtorch,0,1,0,0,0,5,31
blueberry,blueberry,23,6,2,2,2,2,1
boa,boa,1,0,1,0,2,10,21
boar,boar,35,5,0,0,0,0,0
board,board,1,0,5,2,6,11,14
board game,board_game,0,0,0,0,1,6,30
