Word,uniqueID,moves_freq_1,moves_freq_2,moves_freq_3,moves_freq_4,moves_freq_5,moves_freq_6,moves_freq_7
aardvark,aardvark,0,0,0,0,0,3,35
abacus,abacus,3,9,1,3,12,8,3
accordion,accordion,4,3,1,4,10,8,6
acorn,acorn,12,7,4,6,3,3,0
air conditioner,air_conditioner,14,13,5,4,1,0,1
air mattress,air_mattress,14,9,3,3,3,2,2
air pump,air_pump,6,7,5,1,5,10,4
airbag,airbag,5,8,2,1,6,12,3
airboat,airboat,0,1,0,0,1,6,29
aircraft carrier,aircraft_carrier,0,0,0,0,0,12,24
airplane,airplane,1,0,0,0,2,6,29
album,album,21,6,3,6,1,1,0
alligator,alligator,0,0,0,0,0,0,40
almond,almond,14,12,2,4,3,0,0
aloe,aloe,10,12,9,0,6,1,0
alpaca,alpaca,0,0,0,0,1,8,27
altar,altar,24,12,1,0,1,1,0
aluminum foil,aluminum_foil,21,8,3,2,2,1,0
amber,amber,19,9,4,1,1,1,1
ambulance,ambulance,0,0,0,0,2,10,24
amplifier,amplifier,25,3,3,1,3,0,1
anchor,anchor,13,8,4,2,3,5,2
ankle,ankle,0,0,0,0,2,8,27
anklet,anklet,14,7,3,1,7,3,1
ant,ant,0,0,0,0,1,2,33
anteater,anteater,0,0,0,1,1,14,21
antelope,antelope,0,0,0,0,0,7,29
antenna,antenna,8,12,4,3,7,4,0
anvil,anvil,17,15,1,1,2,0,0
appetizer,appetizer,24,9,1,3,0,0,0
apple,apple,19,15,3,1,0,0,0
apple tree,apple_tree,15,7,1,1,8,5,1
applesauce,applesauce,10,16,3,4,2,1,0
apron,apron,21,8,3,0,2,1,0
aquarium,aquarium,16,6,5,2,5,2,3
arch,arch,30,7,0,0,1,0,0
arm,arm,0,0,0,1,1,10,26
armor,armor,10,6,4,3,6,7,2
arrow,arrow,7,5,3,0,6,9,9
artichoke,artichoke,21,7,0,5,3,2,0
arugula,arugula,12,9,4,3,8,2,1
ashtray,ashtray,21,8,4,1,3,1,0
asparagus,asparagus,11,20,2,2,2,1,0
avocado,avocado,18,8,6,1,2,2,0
awning,awning,8,9,2,5,7,3,1
axe,axe,14,4,1,2,10,4,4
baby,baby,0,1,0,1,0,7,27
backdrop,backdrop,15,8,4,2,3,3,2
backgammon,backgammon,15,6,4,1,9,2,1
backpack,backpack,14,8,3,4,7,2,1
backscratcher,backscratcher,24,8,2,0,3,1,0
bacon,bacon,24,3,5,2,2,0,0
badge,badge,22,8,0,5,1,1,0
badger,badger,0,0,0,1,1,5,31
bag,bag,21,7,2,3,1,1,2
