Word,uniqueID,pleasant_freq_1,pleasant_freq_2,pleasant_freq_3,pleasant_freq_4,pleasant_freq_5,pleasant_freq_6,pleasant_freq_7
aardvark,aardvark,0,2,3,16,13,3,1
abacus,abacus,0,0,0,23,5,9,2
accordion,accordion,0,1,5,5,10,10,5
acorn,acorn,0,0,0,14,6,12,3
air conditioner,air_conditioner,0,0,1,5,6,17,9
air mattress,air_mattress,0,1,6,6,13,9,1
air pump,air_pump,0,1,1,24,7,5,0
airbag,airbag,4,2,4,17,7,3,0
airboat,airboat,0,0,0,16,6,13,2
aircraft carrier,aircraft_carrier,0,1,4,24,3,3,1
airplane,airplane,0,1,2,11,12,9,3
album,album,0,0,0,2,2,16,18
alligator,alligator,4,12,10,9,3,0,2
almond,almond,1,0,1,4,9,9,11
aloe,aloe,0,0,1,4,5,19,9
alpaca,alpaca,0,0,4,9,10,5,8
altar,altar,0,0,3,13,10,8,5
aluminum foil,aluminum_foil,0,0,1,30,0,4,2
amber,amber,0,0,0,10,6,12,8
ambulance,ambulance,2,6,10,10,4,4,0
amplifier,amplifier,0,0,0,12,10,8,6
anchor,anchor,0,4,2,25,5,1,0
ankle,ankle,0,0,3,19,6,4,5
anklet,anklet,0,0,0,9,7,10,10
ant,ant,3,10,12,5,3,3,0
anteater,anteater,0,1,3,18,9,5,1
antelope,antelope,0,0,0,11,14,7,4
antenna,antenna,0,2,4,28,1,3,0
anvil,anvil,1,7,4,21,1,2,0
appetizer,appetizer,0,0,0,2,3,15,17
apple,apple,0,1,0,3,3,18,13
apple tree,apple_tree,0,0,0,1,3,19,15
applesauce,applesauce,0,0,1,3,9,16,7
apron,apron,1,0,1,20,6,6,1
aquarium,aquarium,0,0,0,4,8,13,14
arch,arch,0,0,0,10,12,11,5
arm,arm,0,0,0,17,4,12,5
armor,armor,0,5,7,20,4,2,0
arrow,arrow,1,0,3,26,4,5,0
artichoke,artichoke,0,0,1,9,15,7,6
arugula,arugula,1,0,2,8,6,16,6
ashtray,ashtray,15,8,7,7,1,0,0
asparagus,asparagus,0,3,2,6,9,14,4
avocado,avocado,0,1,0,6,5,11,14
awning,awning,0,1,0,9,10,9,6
axe,axe,0,4,8,17,6,3,1
baby,baby,0,0,0,3,3,9,21
backdrop,backdrop,1,0,1,17,9,8,1
backgammon,backgammon,0,2,1,5,14,11,5
backpack,backpack,0,0,2,20,11,5,1
backscratcher,backscratcher,0,1,0,3,8,10,16
bacon,bacon,0,0,0,5,4,8,19
badge,badge,1,1,0,6,6,14,9
badger,badger,3,5,10,6,8,6,0
bag,bag,0,0,0,12,10,11,4
bagel,bagel,0,0,2,4,8,11,12
bagpipe,bagpipe,1,2,1,10,10,9,4
baklava,baklava,0,0,1,2,7,14,15
balance beam,balance_beam,0,0,1,23,9,6,0
ball,ball,0,0,1,4,9,20,4
balloon,balloon,0,0,0,3,6,18,9
ballot box,ballot_box,0,1,2,26,5,2,0
bamboo,bamboo,0,0,1,12,8,12,7
banana,banana,0,0,2,4,5,20,7
banana peel,banana_peel,1,4,8,23,3,0,1
banana split,banana_split,0,0,1,2,4,9,23
bandage,bandage,0,4,16,10,3,2,2
bandanna,bandanna,0,1,0,21,6,5,2
banjo,banjo,0,0,1,6,11,15,4
bank,bank,0,0,0,14,10,13,2
banner,banner,0,0,2,31,2,5,0
barbed wire,barbed_wire,14,14,3,5,0,0,0
barbell,barbell,0,2,3,20,4,6,1
barcode,barcode,1,3,4,27,3,1,0
bark,bark,0,0,1,17,9,9,3
