Word1,Word2,cor,AoA_Est_Word1,AoA_Est_Word2,trial_type
anteater,aardvark,0.790515884004375,8.5,9.89,hard
fan,album,0.9037078384311292,5.63,6.72,hard
caramel,amber,0.8462434836394532,6.58,9.28,hard
knee,ankle,0.8955248994858837,4.42,4.89,hard
gazelle,antelope,0.832844656190053,9.37,8.39,hard
applesauce,apple,0.860008703275918,4.32,4.15,hard
sunroof,awning,0.7681427607868009,11.15,11.06,hard
gumdrop,baby,0.9207198744241536,5.53,3.84,hard
tapestry,backdrop,0.8500408170855183,10.95,9.78,hard
bonsai,basil,0.7756559543433476,11.22,10.132836000000001,hard
pitcher,batter,0.8491850045640854,6.42,7.05,hard
otter,beaver,0.8397018568222818,5.47,5.21,hard
apron,bib,0.7977928742819663,6.75,4.53,hard
towel,blanket,0.8245763444222981,3.22,3.61,hard
blackberry,blueberry,0.8628424640041936,8.95,6.22,hard
tray,board,0.8750538615171641,6.05,6.37,hard
ship,boat,0.917786341127969,5.33,3.84,hard
horn,bone,0.8857434510822715,4.84,5.53,hard
tile,brick,0.8717249761486481,6.8,6.43,hard
puddle,bubble,0.8483548869056354,5.37,3.79,hard
barrel,bucket,0.8706170733035047,7.72,5.61,hard
calf,bull,0.8536684769143862,6.63,4.53,hard
blower,burner,0.913208173168124,8.32,8,hard
enchilada,burrito,0.8482683148011815,11.28,9.37,hard
cheese,butter,0.8889764214712915,4.33,5.78,hard
locker,cabinet,0.8237047470244548,8.22,6.06,hard
aloe,cactus,0.7793160600280443,8.95,6.72,hard
ostrich,camel,0.8080150403157074,6.42,5.11,hard
candlestick,candle,0.85293414850301,5.61,5.37,hard
crayon,candy,0.8791019047061177,3.2,4,hard
kayak,canoe,0.8542431095556636,8.8,6.63,hard
coaster,card,0.8343806601758326,7.89,6.2,hard
cockatoo,cardinal,0.738019586323531,9.44,8,hard
carousel,carriage,0.8506816988610505,6.68,5.84,hard
swordfish,catfish,0.8099730926750446,9.33,6.61,hard
hummus,caviar,0.790234931977142,14.84,12.83,hard
bouquet,centerpiece,0.8322508523731617,8.72,8.89,hard
oatmeal,cereal,0.8867323335326324,4.5,4.44,hard
stool,chair,0.8658921374627534,6.21,3.43,hard
mousse,cheesecake,0.8330134481525204,10.32,8.11,hard
chicken,chick,0.9305349950253784,3.26,5.53,hard
chisel,chime,0.8788611412542656,10.53,7.83,hard
cleat,clasp,0.8770168339710754,9,8.63,hard
acorn,coconut,0.8404637173410163,5.95,6.5,hard
smoothie,coffeemaker,0.8082820281893,8.73,7.78,hard
freezer,cooler,0.8921423027632408,4.63,6.11,hard
cornbread,corn,0.8563997284654365,6.4,4.61,hard
buffet,counter,0.8651031627183603,7.58,7.11,hard
hyena,coyote,0.789239485412087,6.61,6.68,hard
headdress,crown,0.8514625201758338,9.06,7.8,hard
windshield,dashboard,0.8343122266061799,7.85,9.21,hard
crystal,diamond,0.9172039266560078,7.78,6.47,hard
rice,dice,0.8919718300760183,3.72,6.37,hard
dollhouse,doll,0.8996248356098971,4.86,3.68,hard
tambourine,drum,0.8351113951695638,6.53,4.63,hard
compost,dumpster,0.8396961626799683,9.72,9.06,hard
film,filter,0.8373397815353778,6.95,8.05,hard
ambulance,firetruck,0.8700764043470167,6.16,3.6853510000000003,hard
clover,flower,0.8420540310445775,5.74,3.11,hard
recorder,flute,0.8640941099327447,8.37,8.47,hard
screen,frame,0.8875890445903776,5.84,7.67,hard
oil,gel,0.87222955806298,7.33,7.21,hard
turbine,generator,0.8373337455964732,11.06,11.11,hard
treasure,gift,0.917623905433669,6.06,5.05,hard
mitten,glove,0.8567562285940284,4.72,4.3,hard
gum,glue,0.869518593044412,4.89,4.67,hard
turkey,goat,0.8439337490236276,3.95,5.21,hard
binoculars,goggles,0.7943523520259499,6.79,7.05,hard
cracker,gold,0.8990302417077695,4.9,7.1,hard
gourd,gong,0.8262866929847583,10.65,9.6213,hard
grits,gravy,0.8434602668287712,8.95,6,hard
gauze,gurney,0.8595558727623243,9.32,11.47,hard
hairspray,hairdryer,0.8222878616787442,7.84,6.06,hard
saddle,handle,0.8710052622315994,6.42,6.3,hard
corset,harness,0.7993528849820265,10.67,7.83,hard
rickshaw,hearse,0.7912479039113208,11.94,9.89,hard
honeycomb,honey,0.8873565002905857,7.11,5.44,hard
hook,hood,0.8972556097116732,6.26,5.5,hard
ski,ice,0.8715679999772062,6.68,3.86,hard
